datetime,ticker,price,signal,pnl
2023-01-31-08:05,AAPL,142.39,-1,-0.13
2023-01-31-08:10,AAPL,142.14,-1,0.25
2023-01-31-08:15,AAPL,142.05,-1,0.09
2023-01-31-08:20,AAPL,142.07,-1,-0.02
2023-01-31-08:25,AAPL,142.22,-1,-0.15
2023-01-31-08:30,AAPL,142.23,-1,-0.01
2023-01-31-08:35,AAPL,142.48,-1,-0.25
2023-01-31-08:40,AAPL,142.83,-1,-0.35
2023-01-31-08:45,AAPL,142.89,-1,-0.06
2023-01-31-08:50,AAPL,143.11,-1,-0.22
2023-01-31-08:55,AAPL,143.17,-1,-0.06
2023-01-31-09:00,AAPL,143.04,-1,0.13
2023-01-31-09:05,AAPL,143.14,-1,-0.1
2023-01-31-09:10,AAPL,143.02,-1,0.12
2023-01-31-09:15,AAPL,142.95,-1,0.07
2023-01-31-09:20,AAPL,142.88,-1,0.07
2023-01-31-09:25,AAPL,142.98,-1,-0.1
2023-01-31-09:30,AAPL,142.32,-1,0.66
2023-01-31-09:35,AAPL,143.13,-1,-0.81
2023-01-31-09:40,AAPL,142.33,-1,0.8
2023-01-31-09:45,AAPL,142.46,-1,-0.13
2023-01-31-09:50,AAPL,143.42,-1,-0.96
2023-01-31-09:55,AAPL,142.78,-1,0.64
2023-01-31-10:00,AAPL,142.43,-1,0.35
2023-01-31-10:05,AAPL,142.35,-1,0.08
2023-01-31-10:10,AAPL,142.5,-1,-0.16
2023-01-31-10:15,AAPL,142.86,-1,-0.36
2023-01-31-10:20,AAPL,142.9,-1,-0.04
2023-01-31-10:25,AAPL,142.58,-1,0.32
2023-01-31-10:30,AAPL,142.95,-1,-0.37
2023-01-31-10:35,AAPL,143.05,-1,-0.1
2023-01-31-10:40,AAPL,142.89,-1,0.16
2023-01-31-10:45,AAPL,142.92,-1,-0.03
2023-01-31-10:50,AAPL,142.74,-1,0.18
2023-01-31-10:55,AAPL,142.7,-1,0.04
2023-01-31-11:00,AAPL,142.94,-1,-0.24
2023-01-31-11:05,AAPL,143.05,-1,-0.11
2023-01-31-11:10,AAPL,143.0,-1,0.05
2023-01-31-11:15,AAPL,143.0,-1,0.0
2023-01-31-11:20,AAPL,143.13,-1,-0.13
2023-01-31-11:25,AAPL,143.08,-1,0.05
2023-01-31-11:30,AAPL,143.31,-1,-0.22
2023-01-31-11:35,AAPL,143.19,1,0.11
2023-01-31-11:40,AAPL,143.15,1,-0.04
2023-01-31-11:45,AAPL,143.08,1,-0.07
2023-01-31-11:50,AAPL,143.02,1,-0.06
2023-01-31-11:55,AAPL,143.2,1,0.17
2023-01-31-12:00,AAPL,143.04,1,-0.16
2023-01-31-12:05,AAPL,142.91,1,-0.13
2023-01-31-12:10,AAPL,143.09,1,0.18
2023-01-31-12:15,AAPL,143.06,1,-0.03
2023-01-31-12:20,AAPL,143.3,1,0.24
2023-01-31-12:25,AAPL,143.19,1,-0.11
2023-01-31-12:30,AAPL,143.32,1,0.12
2023-01-31-12:35,AAPL,143.3,1,-0.01
2023-01-31-12:40,AAPL,143.32,1,0.01
2023-01-31-12:45,AAPL,143.31,1,-0.0
2023-01-31-12:50,AAPL,143.34,1,0.03
2023-01-31-12:55,AAPL,143.37,1,0.02
2023-01-31-13:00,AAPL,143.32,1,-0.05
2023-01-31-13:05,AAPL,143.37,1,0.05
2023-01-31-13:10,AAPL,143.27,1,-0.09
2023-01-31-13:15,AAPL,143.21,1,-0.06
2023-01-31-13:20,AAPL,143.18,1,-0.03
2023-01-31-13:25,AAPL,143.01,1,-0.17
2023-01-31-13:30,AAPL,143.2,1,0.18
2023-01-31-13:35,AAPL,143.21,1,0.01
2023-01-31-13:40,AAPL,143.21,1,0.0
2023-01-31-13:45,AAPL,143.22,1,0.01
2023-01-31-13:50,AAPL,143.33,1,0.11
2023-01-31-13:55,AAPL,143.41,1,0.07
2023-01-31-14:00,AAPL,143.41,1,0.0
2023-01-31-14:05,AAPL,143.36,1,-0.05
2023-01-31-14:10,AAPL,143.65,1,0.29
2023-01-31-14:15,AAPL,143.5,1,-0.15
2023-01-31-14:20,AAPL,143.55,1,0.05
2023-01-31-14:25,AAPL,143.56,1,0.01
2023-01-31-14:30,AAPL,143.61,1,0.04
2023-01-31-14:35,AAPL,143.64,1,0.03
2023-01-31-14:40,AAPL,143.71,1,0.07
2023-01-31-14:45,AAPL,143.73,1,0.02
2023-01-31-14:50,AAPL,143.72,1,-0.01
2023-01-31-14:55,AAPL,143.63,1,-0.09
2023-01-31-15:00,AAPL,143.64,1,0.01
2023-01-31-15:05,AAPL,143.72,1,0.08
2023-01-31-15:10,AAPL,143.69,1,-0.03
2023-01-31-15:15,AAPL,143.53,1,-0.16
2023-01-31-15:20,AAPL,143.34,1,-0.19
2023-01-31-15:25,AAPL,143.28,1,-0.06
2023-01-31-15:30,AAPL,143.09,1,-0.19
2023-01-31-15:35,AAPL,143.34,1,0.25
2023-01-31-15:40,AAPL,143.21,1,-0.13
2023-01-31-15:45,AAPL,143.24,1,0.03
2023-01-31-15:50,AAPL,142.94,1,-0.29
2023-01-31-15:55,AAPL,143.81,1,0.87
2023-01-31-16:00,AAPL,144.08,1,0.27
2023-01-31-16:05,AAPL,143.81,1,-0.27
2023-01-31-16:10,AAPL,143.79,1,-0.02
2023-01-31-16:15,AAPL,143.66,1,-0.13
2023-01-31-16:20,AAPL,143.72,1,0.06
2023-01-31-16:25,AAPL,143.7,1,-0.02
2023-01-31-16:30,AAPL,143.75,1,0.05
2023-01-31-16:35,AAPL,143.7,1,-0.05
2023-01-31-16:40,AAPL,143.75,1,0.05
2023-01-31-16:45,AAPL,143.7,1,-0.05
2023-01-31-16:50,AAPL,143.73,1,0.03
2023-01-31-16:55,AAPL,143.54,1,-0.19
2023-01-31-17:00,AAPL,143.51,1,-0.03
2023-01-31-17:05,AAPL,143.72,1,0.21
2023-01-31-17:10,AAPL,143.74,1,0.02
2023-01-31-17:15,AAPL,143.73,1,-0.01
2023-01-31-17:20,AAPL,143.73,1,0.0
2023-01-31-17:25,AAPL,143.63,1,-0.1
2023-01-31-17:30,AAPL,143.63,1,0.0
2023-01-31-17:35,AAPL,143.68,1,0.05
2023-01-31-17:40,AAPL,143.58,1,-0.1
2023-01-31-17:45,AAPL,143.79,1,0.21
2023-01-31-17:50,AAPL,143.68,1,-0.11
2023-01-31-17:55,AAPL,143.73,1,0.05
2023-01-31-18:00,AAPL,143.66,1,-0.07
2023-01-31-18:10,AAPL,143.66,1,-0.0
2023-01-31-18:15,AAPL,143.6,1,-0.06
2023-01-31-18:20,AAPL,143.57,1,-0.03
2023-01-31-18:25,AAPL,143.56,1,-0.01
2023-01-31-18:30,AAPL,143.64,1,0.08
2023-01-31-18:35,AAPL,143.57,1,-0.07
2023-01-31-18:40,AAPL,143.58,1,0.01
2023-01-31-18:45,AAPL,143.58,1,0.0
2023-01-31-18:50,AAPL,143.6,1,0.02
2023-01-31-18:55,AAPL,143.63,1,0.03
2023-01-31-19:00,AAPL,143.59,1,-0.04
2023-01-31-19:05,AAPL,143.69,1,0.1
2023-01-31-19:10,AAPL,143.6,1,-0.09
2023-01-31-19:15,AAPL,143.61,1,0.01
2023-01-31-19:20,AAPL,143.58,1,-0.03
2023-01-31-19:25,AAPL,143.54,1,-0.04
2023-01-31-19:30,AAPL,143.52,1,-0.02
2023-01-31-19:35,AAPL,143.5,1,-0.02
2023-01-31-19:40,AAPL,143.49,1,-0.01
2023-01-31-19:45,AAPL,143.53,1,0.04
2023-01-31-19:50,AAPL,143.53,1,0.0
2023-01-31-19:55,AAPL,143.51,1,-0.02
2023-01-31-20:00,AAPL,143.58,1,0.07
2023-02-01-04:05,AAPL,143.86,1,0.28
2023-02-01-04:10,AAPL,143.92,1,0.06
2023-02-01-04:15,AAPL,143.96,1,0.04
2023-02-01-04:20,AAPL,143.98,1,0.02
2023-02-01-04:25,AAPL,144.03,1,0.05
2023-02-01-04:35,AAPL,143.91,1,-0.12
2023-02-01-04:40,AAPL,143.91,1,0.0
2023-02-01-04:50,AAPL,143.9,1,-0.01
2023-02-01-04:55,AAPL,143.97,1,0.07
2023-02-01-05:00,AAPL,143.86,1,-0.11
2023-02-01-05:05,AAPL,143.96,1,0.1
2023-02-01-05:10,AAPL,143.88,1,-0.08
2023-02-01-05:15,AAPL,143.8,1,-0.08
2023-02-01-05:20,AAPL,143.78,1,-0.02
2023-02-01-05:25,AAPL,143.71,1,-0.07
2023-02-01-05:30,AAPL,143.72,1,0.01
2023-02-01-05:35,AAPL,143.73,1,0.01
2023-02-01-05:45,AAPL,143.68,1,-0.05
2023-02-01-05:50,AAPL,143.73,1,0.05
2023-02-01-05:55,AAPL,143.8,1,0.07
2023-02-01-06:00,AAPL,143.71,1,-0.09
2023-02-01-06:05,AAPL,143.8,1,0.09
2023-02-01-06:15,AAPL,143.74,1,-0.06
2023-02-01-06:20,AAPL,143.78,1,0.04
2023-02-01-06:25,AAPL,143.84,1,0.06
2023-02-01-06:30,AAPL,143.85,1,0.01
2023-02-01-06:40,AAPL,143.8,1,-0.05
2023-02-01-06:45,AAPL,143.83,1,0.03
2023-02-01-06:50,AAPL,143.84,1,0.01
2023-02-01-06:55,AAPL,143.86,1,0.02
2023-02-01-07:00,AAPL,143.88,1,0.02
2023-02-01-07:05,AAPL,143.88,1,0.0
2023-02-01-07:10,AAPL,144.0,1,0.12
2023-02-01-07:15,AAPL,143.98,1,-0.02
2023-02-01-07:20,AAPL,144.01,1,0.03
2023-02-01-07:25,AAPL,144.13,1,0.12
2023-02-01-07:30,AAPL,144.08,1,-0.05
2023-02-01-07:35,AAPL,144.1,1,0.02
2023-02-01-07:40,AAPL,144.1,1,0.0
2023-02-01-07:45,AAPL,144.07,1,-0.03
2023-02-01-07:50,AAPL,144.04,1,-0.03
2023-02-01-07:55,AAPL,144.01,1,-0.03
2023-02-01-08:00,AAPL,144.12,1,0.11
2023-02-01-08:05,AAPL,144.02,1,-0.1
2023-02-01-08:10,AAPL,144.08,1,0.06
2023-02-01-08:15,AAPL,143.97,1,-0.11
2023-02-01-08:20,AAPL,143.92,1,-0.05
2023-02-01-08:25,AAPL,143.97,1,0.05
2023-02-01-08:30,AAPL,143.97,1,0.0
2023-02-01-08:35,AAPL,144.0,1,0.03
2023-02-01-08:40,AAPL,143.98,1,-0.02
2023-02-01-08:45,AAPL,143.98,1,0.0
